Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
I7I Quadruple Extra Large,i7i.4xlarge,i7i,0 units,Yes,x86_64,," $1,170.482 ", unavailable , $631.815 ," $1,707.76 "
I7I Eight Extra Large,i7i.8xlarge,i7i,0 units,Yes,x86_64,," $2,340.964 ", unavailable ," $1,192.893 "," $3,415.52 "
I7I Large,i7i.large,i7i,0 units,Yes,x86_64,, $146.292 , unavailable , $96.360 , $213.45 
I7I Metal-24xl,i7i.metal-24xl,i7i,0 units,Yes,x86_64,," $7,022.892 ", unavailable ," $1,892.817 "," $10,246.57 "
I7I Metal-48xl,i7i.metal-48xl,i7i,0 units,Yes,x86_64,," $14,045.784 ", unavailable ," $4,120.996 "," $20,493.14 "
I7I Extra Large,i7i.xlarge,i7i,0 units,Yes,x86_64,, $292.657 , unavailable , $140.014 , $426.98 
I7IE 12xlarge Extra Large,i7ie.12xlarge,i7ie,0 units,Yes,x86_64,," $4,848.806 ", unavailable ," $4,644.698 "," $6,460.65 "
I7IE 18xlarge,i7ie.18xlarge,i7ie,0 units,Yes,x86_64,," $7,273.209 ", unavailable ," $2,691.291 "," $9,690.97 "
I7IE 24xlarge,i7ie.24xlarge,i7ie,0 units,Yes,x86_64,," $9,697.612 ", unavailable ," $9,198.146 "," $12,921.29 "
I7IE Double Extra Large,i7ie.2xlarge,i7ie,0 units,Yes,x86_64,, $808.110 , unavailable , $850.158 ," $1,076.75 "
I7IE 3xlarge,i7ie.3xlarge,i7ie,0 units,Yes,x86_64,," $1,212.165 ", unavailable , $571.955 ," $1,615.13 "
I7IE 48xlarge,i7ie.48xlarge,i7ie,0 units,Yes,x86_64,," $19,395.151 ", unavailable ," $18,305.042 "," $25,842.51 "
I7IE 6xlarge,i7ie.6xlarge,i7ie,0 units,Yes,x86_64,," $2,424.403 ", unavailable ," $1,759.884 "," $3,230.32 "
I7IE Large,i7ie.large,i7ie,0 units,Yes,x86_64,, $202.064 , unavailable , $230.826 , $269.22 
I7IE Metal-24xl,i7ie.metal-24xl,i7ie,0 units,Yes,x86_64,," $9,697.612 ", unavailable ," $4,733.320 "," $12,921.29 "
I7IE Metal-48xl,i7ie.metal-48xl,i7ie,0 units,Yes,x86_64,," $19,395.151 ", unavailable ," $8,029.270 "," $25,842.51 "
I7IE Extra Large,i7ie.xlarge,i7ie,0 units,Yes,x86_64,, $404.055 , unavailable , $350.254 , $538.38 
I8G 12xlarge Extra Large,i8g.12xlarge,i8g,0 units,unknown,arm64,," $3,307.075 ", unavailable ," $2,613.035 ", unavailable 
I8G 16xlarge Extra Large,i8g.16xlarge,i8g,0 units,unknown,arm64,," $4,409.434 ", unavailable ," $3,132.503 ", unavailable 
I8G 24xlarge,i8g.24xlarge,i8g,0 units,unknown,arm64,," $6,614.150 ", unavailable ," $4,681.417 ", unavailable 
I8G Double Extra Large,i8g.2xlarge,i8g,0 units,unknown,arm64,, $551.150 , unavailable , $264.479 , unavailable 
I8G 48xlarge,i8g.48xlarge,i8g,0 units,unknown,arm64,," $13,228.301 ", unavailable ," $8,967.466 ", unavailable 
I8G Quadruple Extra Large,i8g.4xlarge,i8g,0 units,unknown,arm64,," $1,102.373 ", unavailable , $532.681 , unavailable 
I8G Eight Extra Large,i8g.8xlarge,i8g,0 units,unknown,arm64,," $2,204.746 ", unavailable , $944.036 , unavailable 
I8G Large,i8g.large,i8g,0 units,unknown,arm64,, $137.824 , unavailable , $134.320 , unavailable 
I8G Metal-24xl,i8g.metal-24xl,i8g,0 units,unknown,arm64,," $6,614.150 ", unavailable ," $6,104.114 ", unavailable 
I8G Extra Large,i8g.xlarge,i8g,0 units,unknown,arm64,, $275.575 , unavailable , $216.080 , unavailable 
IM4GN 16xlarge Extra Large,im4gn.16xlarge,im4gn,0 units,unknown,arm64,," $4,249.089 "," $2,725.061 "," $1,515.334 ", unavailable 
IM4GN Double Extra Large,im4gn.2xlarge,im4gn,0 units,unknown,arm64,, $584.248 , $340.633 , $255.135 , unavailable 
IM4GN Quadruple Extra Large,im4gn.4xlarge,im4gn,0 units,unknown,arm64,," $1,168.496 ", $681.265 , $478.807 , unavailable 
IM4GN Eight Extra Large,im4gn.8xlarge,im4gn,0 units,unknown,arm64,," $2,337.000 "," $1,362.530 ", $771.464 , unavailable 
IM4GN Large,im4gn.large,im4gn,0 units,unknown,arm64,, $146.066 , $85.155 , $91.031 , unavailable 
IM4GN Extra Large,im4gn.xlarge,im4gn,0 units,unknown,arm64,, $292.124 , $187.347 , $141.255 , unavailable 
INF1 24xlarge,inf1.24xlarge,inf1,0 units,unknown,x86_64,," $3,653.650 "," $2,378.340 "," $3,537.580 ", unavailable 
INF1 Double Extra Large,inf1.2xlarge,inf1,0 units,unknown,x86_64,, $280.320 , $166.440 , $181.697 , unavailable 
INF1 6xlarge,inf1.6xlarge,inf1,0 units,unknown,x86_64,, $913.230 , $594.220 , $892.425 , unavailable 
INF1 Extra Large,inf1.xlarge,inf1,0 units,unknown,x86_64,, $176.660 , $114.610 , $97.601 , unavailable 
INF2 24xlarge,inf2.24xlarge,inf2,0 units,unknown,x86_64,," $5,211.981 "," $3,283.547 ", unavailable , unavailable 
INF2 48xlarge,inf2.48xlarge,inf2,0 units,unknown,x86_64,," $10,423.955 "," $5,970.086 ", unavailable , unavailable 
INF2 Eight Extra Large,inf2.8xlarge,inf2,0 units,unknown,x86_64,," $1,580.195 ", $905.018 , unavailable , unavailable 
INF2 Extra Large,inf2.xlarge,inf2,0 units,unknown,x86_64,, $608.835 , $348.699 , unavailable , unavailable 
IS4GEN Double Extra Large,is4gen.2xlarge,is4gen,0 units,unknown,arm64,, $841.398 , $573.860 , $476.617 , unavailable 
IS4GEN Quadruple Extra Large,is4gen.4xlarge,is4gen,0 units,unknown,arm64,," $1,682.796 "," $1,147.728 ", $890.162 , unavailable 
IS4GEN Eight Extra Large,is4gen.8xlarge,is4gen,0 units,unknown,arm64,," $3,365.592 "," $2,295.456 "," $1,271.733 ", unavailable 
IS4GEN Large,is4gen.large,is4gen,0 units,unknown,arm64,, $210.350 , $143.467 , $202.283 , unavailable 
IS4GEN Medium,is4gen.medium,is4gen,0 units,unknown,arm64,, $105.178 , $71.730 , $50.662 , unavailable 
IS4GEN Extra Large,is4gen.xlarge,is4gen,0 units,unknown,arm64,, $420.699 , $286.934 , $292.365 , unavailable 
M1 General Purpose Large,m1.large,m1,4 units,unknown,x86_64,, $140.890 , $81.760 , $123.662 , $240.17 
M1 General Purpose Medium,m1.medium,m1,2 units,unknown,"i386, x86_64",, $70.080 , $44.530 , $99.572 , $119.72 
M1 General Purpose Small,m1.small,m1,1 units,unknown,"i386, x86_64",, $35.040 , $20.440 , $33.361 , $60.59 
M1 General Purpose Extra Large,m1.xlarge,m1,8 units,unknown,x86_64,, $281.050 , $179.580 , $182.865 , $480.34 
M2 High Memory Double Extra Large,m2.2xlarge,m2,13 units,unknown,x86_64,, $393.470 , $162.060 , $226.592 , $554.07 
M2 High Memory Quadruple Extra Large,m2.4xlarge,m2,26 units,unknown,x86_64,, $786.940 , $356.240 , $408.070 ," $1,108.14 "
M2 High Memory Extra Large,m2.xlarge,m2,6.5 units,unknown,x86_64,, $197.100 , $81.030 , $156.658 , $277.40 
M3 General Purpose Double Extra Large,m3.2xlarge,m3,26 units,Yes,x86_64,, $427.050 , $305.140 , $274.407 , $832.20 
M3 General Purpose Large,m3.large,m3,6.5 units,Yes,x86_64,, $106.580 , $69.350 , $113.734 , $208.05 
M3 General Purpose Medium,m3.medium,m3,3 units,Yes,x86_64,, $54.020 , $38.690 , $89.644 , $104.39 
M3 General Purpose Extra Large,m3.xlarge,m3,13 units,Yes,x86_64,, $213.890 , $152.570 , $151.475 , $416.10 
M4 General Purpose Deca Extra Large,m4.10xlarge,m4,124.5 units,Yes,x86_64,," $1,460.000 ", $904.470 , $708.392 ," $2,803.20 "
M4 General Purpose 16xlarge Extra Large,m4.16xlarge,m4,188 units,Yes,x86_64,," $2,336.000 "," $1,447.152 "," $1,000.684 "," $4,485.12 "
M4 General Purpose Double Extra Large,m4.2xlarge,m4,26 units,Yes,x86_64,, $321.200 , $180.894 , $223.161 , $589.84 
M4 General Purpose Quadruple Extra Large,m4.4xlarge,m4,53.5 units,Yes,x86_64,, $642.400 , $361.788 , $327.332 ," $1,179.68 "
M4 General Purpose Large,m4.large,m4,6.5 units,Yes,x86_64,, $80.300 , $49.713 , $115.632 , $147.46 
M4 General Purpose Extra Large,m4.xlarge,m4,13 units,Yes,x86_64,, $160.600 , $99.499 , $149.504 , $294.92 
M5 General Purpose 12xlarge Extra Large,m5.12xlarge,m5,168 units,Yes,x86_64,," $1,784.120 "," $1,059.960 ", $806.431 ," $3,395.96 "
M5 General Purpose 16xlarge Extra Large,m5.16xlarge,m5,256 units,Yes,x86_64,," $2,379.070 "," $1,547.600 ", $939.948 ," $4,528.19 "
M5 General Purpose 24xlarge,m5.24xlarge,m5,337 units,Yes,x86_64,," $3,363.840 "," $2,119.190 "," $1,421.894 "," $6,587.52 "
M5 General Purpose Double Extra Large,m5.2xlarge,m5,37 units,Yes,x86_64,, $297.110 , $176.660 , $211.773 , $565.75 
M5 General Purpose Quadruple Extra Large,m5.4xlarge,m5,70 units,Yes,x86_64,, $594.950 , $386.900 , $350.473 ," $1,132.23 "
M5 General Purpose Eight Extra Large,m5.8xlarge,m5,128 units,Yes,x86_64,," $1,189.170 ", $706.640 , $522.972 ," $2,263.73 "
M5 General Purpose Large,m5.large,m5,10 units,Yes,x86_64,, $74.460 , $48.180 , $71.978 , $141.62 
M5 General Purpose Metal,m5.metal,m5,345 units,Yes,x86_64,," $3,363.840 "," $2,119.190 "," $1,127.047 "," $6,587.52 "
M5 General Purpose Extra Large,m5.xlarge,m5,16 units,Yes,x86_64,, $148.920 , $88.330 , $99.061 , $283.24 
M5A 12xlarge Extra Large,m5a.12xlarge,m5a,0 units,unknown,x86_64,," $1,597.970 ", $949.000 , $762.704 ," $3,209.81 "
M5A 16xlarge Extra Large,m5a.16xlarge,m5a,0 units,unknown,x86_64,," $2,130.870 "," $1,386.270 "," $1,106.680 "," $4,279.99 "
M5A 24xlarge,m5a.24xlarge,m5a,0 units,unknown,x86_64,," $3,195.940 "," $2,079.040 "," $1,278.449 "," $6,419.62 "
M5A Double Extra Large,m5a.2xlarge,m5a,0 units,unknown,x86_64,, $266.450 , $173.010 , $212.722 , $535.09 
M5A Quadruple Extra Large,m5a.4xlarge,m5a,0 units,unknown,x86_64,, $532.900 , $346.750 , $348.064 ," $1,070.18 "
M5A Eight Extra Large,m5a.8xlarge,m5a,0 units,unknown,x86_64,," $1,065.070 ", $692.770 , $613.127 ," $2,139.63 "
M5A Large,m5a.large,m5a,0 units,unknown,x86_64,, $66.430 , $43.070 , $68.182 , $133.59 
M5A Extra Large,m5a.xlarge,m5a,0 units,unknown,x86_64,, $132.860 , $78.840 , $98.623 , $267.18 
M5AD 12xlarge Extra Large,m5ad.12xlarge,m5ad,0 units,unknown,x86_64,," $1,914.790 "," $1,245.380 "," $1,356.267 "," $3,526.63 "
M5AD 16xlarge Extra Large,m5ad.16xlarge,m5ad,0 units,unknown,x86_64,," $2,550.620 "," $1,515.480 "," $1,418.536 "," $4,699.74 "
M5AD 24xlarge,m5ad.24xlarge,m5ad,0 units,unknown,x86_64,," $3,828.850 "," $2,490.030 "," $2,068.747 "," $7,052.53 "
M5AD Double Extra Large,m5ad.2xlarge,m5ad,0 units,unknown,x86_64,, $319.010 , $189.800 , $344.852 , $587.65 
M5AD Quadruple Extra Large,m5ad.4xlarge,m5ad,0 units,unknown,x86_64,, $638.020 , $378.870 , $648.167 ," $1,175.30 "
M5AD Eight Extra Large,m5ad.8xlarge,m5ad,0 units,unknown,x86_64,," $1,275.310 ", $830.010 ," $1,109.746 "," $2,349.87 "
M5AD Large,m5ad.large,m5ad,0 units,unknown,x86_64,, $79.570 , $47.450 , $81.030 , $146.73 
M5AD Extra Large,m5ad.xlarge,m5ad,0 units,unknown,x86_64,, $159.870 , $94.900 , $142.204 , $294.19 
M5 General Purpose 12xlarge Extra Large,m5d.12xlarge,m5d,168 units,Yes,x86_64,," $2,099.480 "," $1,247.570 "," $1,163.036 "," $3,711.32 "
M5 General Purpose 16xlarge Extra Large,m5d.16xlarge,m5d,256 units,Yes,x86_64,," $2,799.550 "," $1,662.940 "," $1,334.075 "," $4,948.67 "
M5 General Purpose 24xlarge,m5d.24xlarge,m5d,337 units,Yes,x86_64,," $3,959.520 "," $2,494.410 "," $2,221.609 "," $7,183.20 "
M5 General Purpose Double Extra Large,m5d.2xlarge,m5d,37 units,Yes,x86_64,, $349.670 , $208.050 , $263.165 , $618.31 
M5 General Purpose Quadruple Extra Large,m5d.4xlarge,m5d,70 units,Yes,x86_64,, $700.070 , $455.520 , $505.306 ," $1,237.35 "
M5 General Purpose Eight Extra Large,m5d.8xlarge,m5d,128 units,Yes,x86_64,," $1,400.140 ", $911.040 , $770.004 ," $2,474.70 "
M5 General Purpose Large,m5d.large,m5d,10 units,Yes,x86_64,, $87.600 , $51.830 , $80.081 , $154.76 
M5 General Purpose Metal,m5d.metal,m5d,345 units,Yes,x86_64,," $3,959.520 "," $2,494.410 "," $1,395.030 "," $7,183.20 "
M5 General Purpose Extra Large,m5d.xlarge,m5d,16 units,Yes,x86_64,, $175.200 , $103.660 , $126.071 , $309.52 
M5DN 12xlarge Extra Large,m5dn.12xlarge,m5dn,0 units,unknown,x86_64,," $2,527.260 "," $1,643.960 ", unavailable ," $4,139.10 "
M5DN 16xlarge Extra Large,m5dn.16xlarge,m5dn,0 units,unknown,x86_64,," $3,369.680 "," $2,001.660 ", unavailable ," $5,518.80 "
M5DN 24xlarge,m5dn.24xlarge,m5dn,0 units,unknown,x86_64,," $4,765.440 "," $3,002.490 ", unavailable ," $7,989.12 "
M5DN Double Extra Large,m5dn.2xlarge,m5dn,0 units,unknown,x86_64,, $421.210 , $250.390 , unavailable , $689.85 
M5DN Quadruple Extra Large,m5dn.4xlarge,m5dn,0 units,unknown,x86_64,, $842.420 , $500.050 , unavailable ," $1,379.70 "
M5DN Eight Extra Large,m5dn.8xlarge,m5dn,0 units,unknown,x86_64,," $1,684.840 "," $1,095.730 ", unavailable ," $2,759.40 "
M5DN Large,m5dn.large,m5dn,0 units,unknown,x86_64,, $105.120 , $68.620 , unavailable , $172.28 
M5DN Metal,m5dn.metal,m5dn,0 units,unknown,x86_64,," $4,765.440 "," $3,002.490 "," $2,054.950 "," $7,989.12 "
M5DN Extra Large,m5dn.xlarge,m5dn,0 units,unknown,x86_64,, $210.240 , $137.240 , unavailable , $344.56 
M5N 12xlarge Extra Large,m5n.12xlarge,m5n,0 units,unknown,x86_64,," $2,211.170 "," $1,438.830 "," $1,084.488 "," $3,823.01 "
M5N 16xlarge Extra Large,m5n.16xlarge,m5n,0 units,unknown,x86_64,," $2,947.740 "," $1,751.270 "," $1,598.554 "," $5,096.86 "
M5N 24xlarge,m5n.24xlarge,m5n,0 units,unknown,x86_64,," $4,169.760 "," $2,627.270 "," $1,961.802 "," $7,393.44 "
M5N Double Extra Large,m5n.2xlarge,m5n,0 units,unknown,x86_64,, $368.650 , $219.000 , $281.488 , $637.29 
M5N Quadruple Extra Large,m5n.4xlarge,m5n,0 units,unknown,x86_64,, $737.300 , $479.610 , $450.629 ," $1,274.58 "
M5N Eight Extra Large,m5n.8xlarge,m5n,0 units,unknown,x86_64,," $1,473.870 ", $959.220 , $927.830 ," $2,548.43 "
M5N Large,m5n.large,m5n,0 units,unknown,x86_64,, $91.980 , $54.750 , $84.972 , $159.14 
M5N Metal,m5n.metal,m5n,0 units,unknown,x86_64,," $4,169.760 "," $2,627.270 "," $1,494.164 "," $7,393.44 "
M5N Extra Large,m5n.xlarge,m5n,0 units,unknown,x86_64,, $183.960 , $109.500 , $131.327 , $318.28 
M5ZN 12xlarge Extra Large,m5zn.12xlarge,m5zn,0 units,Yes,x86_64,," $3,183.165 "," $1,823.102 "," $1,665.130 "," $4,795.01 "
M5ZN Double Extra Large,m5zn.2xlarge,m5zn,0 units,Yes,x86_64,, $530.491 , $303.826 , $337.041 , $799.13 
M5ZN 3xlarge,m5zn.3xlarge,m5zn,0 units,Yes,x86_64,, $795.773 , $501.364 , $621.522 ," $1,198.73 "
M5ZN 6xlarge,m5zn.6xlarge,m5zn,0 units,Yes,x86_64,," $1,591.546 "," $1,002.728 "," $1,133.471 "," $2,397.47 "
M5ZN Large,m5zn.large,m5zn,0 units,Yes,x86_64,, $132.641 , $75.993 , $95.703 , $199.80 
M5ZN Metal,m5zn.metal,m5zn,0 units,Yes,x86_64,," $3,183.165 "," $2,005.383 "," $1,541.176 "," $4,795.01 "
M5ZN Extra Large,m5zn.xlarge,m5zn,0 units,Yes,x86_64,, $265.282 , $151.913 , $182.062 , $399.60 
M6A 12xlarge Extra Large,m6a.12xlarge,m6a,0 units,unknown,x86_64,," $1,665.101 "," $1,001.334 ", $845.924 ," $3,276.94 "
M6A 16xlarge Extra Large,m6a.16xlarge,m6a,0 units,unknown,x86_64,," $2,220.134 "," $1,335.112 "," $1,042.732 "," $4,369.25 "
M6A 24xlarge,m6a.24xlarge,m6a,0 units,unknown,x86_64,," $3,330.202 "," $2,202.928 "," $1,303.634 "," $6,553.88 "
M6A Double Extra Large,m6a.2xlarge,m6a,0 units,unknown,x86_64,, $277.517 , $183.580 , $224.913 , $546.16 
M6A 32xlarge,m6a.32xlarge,m6a,0 units,unknown,x86_64,," $4,440.269 "," $2,937.235 "," $2,148.025 "," $8,738.51 "
M6A 48xlarge,m6a.48xlarge,m6a,0 units,unknown,x86_64,," $6,054.912 "," $4,005.328 "," $2,980.371 "," $12,502.27 "
M6A Quadruple Extra Large,m6a.4xlarge,m6a,0 units,unknown,x86_64,, $555.034 , $333.778 , $399.967 ," $1,092.31 "
M6A Eight Extra Large,m6a.8xlarge,m6a,0 units,unknown,x86_64,," $1,110.067 ", $734.307 , $620.573 ," $2,184.63 "
M6A Large,m6a.large,m6a,0 units,unknown,x86_64,, $69.379 , $45.895 , $71.175 , $136.54 
M6A Metal,m6a.metal,m6a,0 units,unknown,x86_64,," $6,054.912 "," $4,005.328 "," $2,405.277 "," $12,502.27 "
M6A Extra Large,m6a.xlarge,m6a,0 units,unknown,x86_64,, $138.758 , $83.446 , $102.419 , $273.08 
M6G 12xlarge Extra Large,m6g.12xlarge,m6g,0 units,unknown,arm64,," $1,429.632 ", $846.216 , $598.746 , unavailable 
M6G 16xlarge Extra Large,m6g.16xlarge,m6g,0 units,unknown,arm64,," $1,906.176 "," $1,128.288 ", $721.094 , unavailable 
M6G Double Extra Large,m6g.2xlarge,m6g,0 units,unknown,arm64,, $238.272 , $141.036 , $180.675 , unavailable 
M6G Quadruple Extra Large,m6g.4xlarge,m6g,0 units,unknown,arm64,, $476.544 , $282.072 , $286.306 , unavailable 
M6G Eight Extra Large,m6g.8xlarge,m6g,0 units,unknown,arm64,, $953.088 , $617.872 , $513.117 , unavailable 
M6G Large,m6g.large,m6g,0 units,unknown,arm64,, $59.568 , $35.259 , $69.131 , unavailable 
M6G Medium,m6g.medium,m6g,0 units,unknown,arm64,, $29.784 , $17.593 , $34.675 , unavailable 
M6G Metal,m6g.metal,m6g,0 units,unknown,arm64,," $1,906.176 "," $1,235.744 ", $773.946 , unavailable 
M6G Extra Large,m6g.xlarge,m6g,0 units,unknown,arm64,, $119.136 , $70.518 , $82.782 , unavailable 
M6GD 12xlarge Extra Large,m6gd.12xlarge,m6gd,0 units,unknown,arm64,," $1,678.854 ", $997.764 , $665.176 , unavailable 
M6GD 16xlarge Extra Large,m6gd.16xlarge,m6gd,0 units,unknown,arm64,," $2,238.472 "," $1,457.080 "," $1,136.245 ", unavailable 
M6GD Double Extra Large,m6gd.2xlarge,m6gd,0 units,unknown,arm64,, $279.809 , $182.135 , $255.792 , unavailable 
M6GD Quadruple Extra Large,m6gd.4xlarge,m6gd,0 units,unknown,arm64,, $559.618 , $332.588 , $370.110 , unavailable 
M6GD Eight Extra Large,m6gd.8xlarge,m6gd,0 units,unknown,arm64,," $1,119.236 ", $665.176 , $575.751 , unavailable 
M6GD Large,m6gd.large,m6gd,0 units,unknown,arm64,, $69.934 , $41.610 , $71.759 , unavailable 
M6GD Medium,m6gd.medium,m6gd,0 units,unknown,arm64,, $34.967 , $20.805 , $35.405 , unavailable 
M6GD Metal,m6gd.metal,m6gd,0 units,unknown,arm64,," $2,238.472 "," $1,457.080 ", $750.513 , unavailable 
M6GD Extra Large,m6gd.xlarge,m6gd,0 units,unknown,arm64,, $139.868 , $91.104 , $132.495 , unavailable 
M6I 12xlarge Extra Large,m6i.12xlarge,m6i,0 units,Yes,x86_64,," $1,850.112 "," $1,112.593 ", $829.718 ," $3,461.95 "
M6I 16xlarge Extra Large,m6i.16xlarge,m6i,0 units,Yes,x86_64,," $2,466.816 "," $1,631.798 "," $1,138.216 "," $4,615.94 "
M6I 24xlarge,m6i.24xlarge,m6i,0 units,Yes,x86_64,," $3,700.224 "," $2,225.179 "," $1,354.369 "," $6,923.90 "
M6I Double Extra Large,m6i.2xlarge,m6i,0 units,Yes,x86_64,, $308.352 , $185.435 , $219.876 , $576.99 
M6I 32xlarge,m6i.32xlarge,m6i,0 units,Yes,x86_64,," $4,933.632 "," $3,263.596 "," $1,722.143 "," $9,231.87 "
M6I Quadruple Extra Large,m6i.4xlarge,m6i,0 units,Yes,x86_64,, $616.704 , $370.862 , $325.799 ," $1,153.98 "
M6I Eight Extra Large,m6i.8xlarge,m6i,0 units,Yes,x86_64,," $1,233.408 ", $815.899 , $604.367 ," $2,307.97 "
M6I Large,m6i.large,m6i,0 units,Yes,x86_64,, $77.088 , $50.991 , $73.949 , $144.25 
M6I Metal,m6i.metal,m6i,0 units,Yes,x86_64,," $4,485.120 "," $2,966.910 "," $1,757.548 "," $8,783.36 "
M6I Extra Large,m6i.xlarge,m6i,0 units,Yes,x86_64,, $154.176 , $101.988 , $100.594 , $288.50 
M6ID 12xlarge Extra Large,m6id.12xlarge,m6id,0 units,Yes,x86_64,," $2,286.623 "," $1,440.575 ", $932.648 ," $3,898.46 "
M6ID 16xlarge Extra Large,m6id.16xlarge,m6id,0 units,Yes,x86_64,," $3,048.830 "," $1,920.761 "," $1,760.030 "," $5,197.95 "
M6ID 24xlarge,m6id.24xlarge,m6id,0 units,Yes,x86_64,," $4,573.246 "," $2,881.142 "," $2,018.961 "," $7,796.93 "
M6ID Double Extra Large,m6id.2xlarge,m6id,0 units,Yes,x86_64,, $381.104 , $218.270 , $260.756 , $649.74 
M6ID 32xlarge,m6id.32xlarge,m6id,0 units,Yes,x86_64,," $5,543.328 "," $3,492.298 "," $2,416.373 "," $9,841.57 "
M6ID Quadruple Extra Large,m6id.4xlarge,m6id,0 units,Yes,x86_64,, $762.208 , $436.540 , $427.999 ," $1,299.49 "
M6ID Eight Extra Large,m6id.8xlarge,m6id,0 units,Yes,x86_64,," $1,524.415 ", $873.073 ," $1,065.727 "," $2,598.98 "
M6ID Large,m6id.large,m6id,0 units,Yes,x86_64,, $95.280 , $54.568 , $76.577 , $162.44 
M6ID Metal,m6id.metal,m6id,0 units,Yes,x86_64,," $5,543.328 "," $3,492.298 "," $2,053.490 "," $9,841.57 "
M6ID Extra Large,m6id.xlarge,m6id,0 units,Yes,x86_64,, $190.552 , $120.049 , $112.785 , $324.87 
M6IDN 12xlarge Extra Large,m6idn.12xlarge,m6idn,0 units,Yes,x86_64,," $3,066.562 "," $1,931.930 "," $1,279.690 "," $4,678.40 "
M6IDN 16xlarge Extra Large,m6idn.16xlarge,m6idn,0 units,Yes,x86_64,," $4,088.745 "," $2,341.738 "," $1,612.205 "," $6,237.86 "
M6IDN 24xlarge,m6idn.24xlarge,m6idn,0 units,Yes,x86_64,," $6,133.124 "," $3,512.607 "," $2,144.156 "," $9,356.80 "
M6IDN Double Extra Large,m6idn.2xlarge,m6idn,0 units,Yes,x86_64,, $511.095 , $292.715 , $340.618 , $779.73 
M6IDN 32xlarge,m6idn.32xlarge,m6idn,0 units,Yes,x86_64,," $7,434.086 "," $4,683.476 "," $2,942.119 "," $11,732.33 "
M6IDN Quadruple Extra Large,m6idn.4xlarge,m6idn,0 units,Yes,x86_64,," $1,022.190 ", $585.431 , $773.508 ," $1,559.47 "
M6IDN Eight Extra Large,m6idn.8xlarge,m6idn,0 units,Yes,x86_64,," $2,044.372 "," $1,170.869 "," $1,077.188 "," $3,118.93 "
M6IDN Large,m6idn.large,m6idn,0 units,Yes,x86_64,, $127.772 , $80.497 , $94.827 , $194.93 
M6IDN Metal,m6idn.metal,m6idn,0 units,Yes,x86_64,," $7,434.086 "," $4,683.476 "," $2,551.861 "," $11,732.33 "
M6IDN Extra Large,m6idn.xlarge,m6idn,0 units,Yes,x86_64,, $255.544 , $160.994 , $163.739 , $389.86 
M6IN 12xlarge Extra Large,m6in.12xlarge,m6in,0 units,Yes,x86_64,," $2,683.239 "," $1,536.767 "," $1,368.166 "," $4,295.08 "
M6IN 16xlarge Extra Large,m6in.16xlarge,m6in,0 units,Yes,x86_64,," $3,577.657 "," $2,049.022 "," $1,694.695 "," $5,726.78 "
M6IN 24xlarge,m6in.24xlarge,m6in,0 units,Yes,x86_64,," $5,366.478 "," $3,380.886 "," $2,535.217 "," $8,590.16 "
M6IN Double Extra Large,m6in.2xlarge,m6in,0 units,Yes,x86_64,, $447.205 , $281.744 , $265.501 , $715.85 
M6IN 32xlarge,m6in.32xlarge,m6in,0 units,Yes,x86_64,," $6,504.826 "," $4,098.038 "," $3,056.583 "," $10,803.07 "
M6IN Quadruple Extra Large,m6in.4xlarge,m6in,0 units,Yes,x86_64,, $894.411 , $512.256 , $791.831 ," $1,431.69 "
M6IN Eight Extra Large,m6in.8xlarge,m6in,0 units,Yes,x86_64,," $1,788.829 "," $1,024.511 "," $1,050.908 "," $2,863.39 "
M6IN Large,m6in.large,m6in,0 units,Yes,x86_64,, $111.800 , $64.028 , $83.950 , $178.96 
M6IN Metal,m6in.metal,m6in,0 units,Yes,x86_64,," $6,504.826 "," $4,098.038 "," $2,565.366 "," $10,803.07 "
M6IN Extra Large,m6in.xlarge,m6in,0 units,Yes,x86_64,, $223.606 , $140.868 , $140.306 , $357.93 
M7A 12xlarge Extra Large,m7a.12xlarge,m7a,0 units,unknown,x86_64,," $2,234.012 "," $1,343.456 "," $1,467.665 "," $3,845.85 "
M7A 16xlarge Extra Large,m7a.16xlarge,m7a,0 units,unknown,x86_64,," $2,978.677 "," $1,791.267 "," $1,214.866 "," $5,127.80 "
M7A 24xlarge,m7a.24xlarge,m7a,0 units,unknown,x86_64,," $4,468.023 "," $2,955.595 "," $2,923.285 "," $7,691.70 "
M7A Double Extra Large,m7a.2xlarge,m7a,0 units,unknown,x86_64,, $372.337 , $223.906 , $244.988 , $640.98 
M7A 32xlarge,m7a.32xlarge,m7a,0 units,unknown,x86_64,," $5,957.362 "," $3,582.541 "," $4,358.611 "," $10,255.60 "
M7A 48xlarge,m7a.48xlarge,m7a,0 units,unknown,x86_64,," $8,123.674 "," $5,373.807 "," $6,724.103 "," $14,571.03 "
M7A Quadruple Extra Large,m7a.4xlarge,m7a,0 units,unknown,x86_64,, $744.673 , $492.597 , $420.480 ," $1,281.95 "
M7A Eight Extra Large,m7a.8xlarge,m7a,0 units,unknown,x86_64,," $1,489.339 ", $895.637 , $675.469 ," $2,563.90 "
M7A Large,m7a.large,m7a,0 units,unknown,x86_64,, $93.082 , $55.976 , $78.110 , $160.24 
