Name,API Name,Instance Family,Compute Units (ECU),Intel Turbo,Arch,Availability Zones, On Demand (Monthly) , Linux Reserved cost (Monthly) , SLES Spot Maximum cost (Monthly) , Windows On Demand cost (Monthly) 
C8GN Metal-24xl,c8gn.metal-24xl,c8gn,0 units,unknown,arm64,," $4,401.389 ", unavailable ," $1,468.906 ", unavailable 
C8GN Metal-48xl,c8gn.metal-48xl,c8gn,0 units,unknown,arm64,," $8,304.480 ", unavailable ," $2,388.341 ", unavailable 
C8GN Extra Large,c8gn.xlarge,c8gn,0 units,unknown,arm64,, $183.376 , unavailable , $120.888 , unavailable 
Cluster Compute Eight Extra Large,cc2.8xlarge,cc2,88 units,unknown,x86_64,," $1,460.000 ", unavailable , unavailable ," $1,876.10 "
High Memory Cluster Eight Extra Large,cr1.8xlarge,cr1,88 units,unknown,x86_64,," $2,555.000 ", unavailable , unavailable ," $2,796.63 "
D2 Double Extra Large,d2.2xlarge,d2,28 units,Yes,x86_64,," $1,108.140 ", $586.920 ," $1,080.400 "," $1,285.53 "
D2 Quadruple Extra Large,d2.4xlarge,d2,56 units,Yes,x86_64,," $2,216.280 "," $1,173.840 "," $1,457.810 "," $2,458.64 "
D2 Eight Extra Large,d2.8xlarge,d2,116 units,Yes,x86_64,," $4,029.600 "," $2,347.680 "," $3,069.577 "," $4,524.54 "
D2 Extra Large,d2.xlarge,d2,14 units,Yes,x86_64,, $554.070 , $322.660 , $444.935 , $659.19 
D3 Double Extra Large,d3.2xlarge,d3,0 units,Yes,x86_64,, $802.270 , $505.160 , $397.631 ," $1,070.91 "
D3 Quadruple Extra Large,d3.4xlarge,d3,0 units,Yes,x86_64,," $1,604.540 "," $1,010.320 ", $835.631 ," $2,141.82 "
D3 Eight Extra Large,d3.8xlarge,d3,0 units,Yes,x86_64,," $3,208.401 "," $2,021.297 "," $1,311.445 "," $4,282.96 "
D3 Extra Large,d3.xlarge,d3,0 units,Yes,x86_64,, $400.770 , $229.950 , $196.735 , $535.09 
D3EN 12xlarge Extra Large,d3en.12xlarge,d3en,0 units,Yes,x86_64,," $5,065.835 "," $3,191.480 "," $1,996.258 "," $6,677.68 "
D3EN Double Extra Large,d3en.2xlarge,d3en,0 units,Yes,x86_64,, $844.610 , $483.260 , $427.780 ," $1,113.25 "
D3EN Quadruple Extra Large,d3en.4xlarge,d3en,0 units,Yes,x86_64,," $1,688.490 "," $1,063.610 "," $1,039.885 "," $2,225.77 "
D3EN 6xlarge,d3en.6xlarge,d3en,0 units,Yes,x86_64,," $2,533.100 "," $1,595.780 "," $1,220.195 "," $3,339.02 "
D3EN Eight Extra Large,d3en.8xlarge,d3en,0 units,Yes,x86_64,," $3,377.228 "," $1,934.230 "," $1,311.080 "," $4,451.79 "
D3EN Large,d3en.large,d3en,0 units,Yes,x86_64,, unavailable , unavailable , unavailable , unavailable 
D3EN Extra Large,d3en.xlarge,d3en,0 units,Yes,x86_64,, $421.940 , $241.630 , $192.428 , $556.26 
DL1 24xlarge,dl1.24xlarge,dl1,0 units,Yes,x86_64,," $10,526.556 "," $6,028.851 ", unavailable , unavailable 
DL2Q 24xlarge,dl2q.24xlarge,dl2q,0 units,Yes,x86_64,, unavailable , unavailable , unavailable , unavailable 
F1 16xlarge Extra Large,f1.16xlarge,f1,201 units,Yes,x86_64,," $9,636.000 ", unavailable ," $9,709.000 "," $9,636.00 "
F1 Double Extra Large,f1.2xlarge,f1,31 units,Yes,x86_64,," $1,324.950 ", unavailable ," $1,277.500 "," $1,324.95 "
F1 Quadruple Extra Large,f1.4xlarge,f1,58 units,Yes,x86_64,," $2,649.900 ", unavailable ," $1,640.529 ", unavailable 
F2 12xlarge Extra Large,f2.12xlarge,f2,0 units,unknown,x86_64,," $3,179.880 ", unavailable ," $1,351.230 ", unavailable 
F2 48xlarge,f2.48xlarge,f2,0 units,unknown,x86_64,," $12,719.520 ", unavailable ," $4,498.771 ", unavailable 
F2 6xlarge,f2.6xlarge,f2,0 units,unknown,x86_64,," $1,589.940 ", unavailable , $284.554 , unavailable 
G2 Double Extra Large,g2.2xlarge,g2,26 units,Yes,x86_64,, $521.950 , unavailable , unavailable , $616.12 
G2 Eight Extra Large,g2.8xlarge,g2,104 units,Yes,x86_64,," $1,898.000 ", unavailable , unavailable ," $2,100.94 "
G3 Graphics GPU 16xlarge Extra Large,g3.16xlarge,g3,201 units,Yes,x86_64,," $3,328.800 ", unavailable , unavailable ," $5,477.92 "
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,g3,58 units,Yes,x86_64,, $915.420 , unavailable , unavailable ," $1,452.70 "
G3 Graphics GPU Eight Extra Large,g3.8xlarge,g3,97 units,Yes,x86_64,," $1,830.840 ", unavailable , unavailable ," $2,905.40 "
G3S Extra Large,g3s.xlarge,g3s,13 units,unknown,x86_64,, $586.190 , unavailable , unavailable , $720.51 
G4AD 16xlarge Extra Large,g4ad.16xlarge,g4ad,0 units,unknown,x86_64,," $2,784.804 "," $1,594.933 "," $1,578.625 "," $4,933.92 "
G4AD Double Extra Large,g4ad.2xlarge,g4ad,0 units,unknown,x86_64,, $434.562 , $273.772 , $287.985 , $703.20 
G4AD Quadruple Extra Large,g4ad.4xlarge,g4ad,0 units,unknown,x86_64,, $696.201 , $438.606 , $391.718 ," $1,233.48 "
G4AD Eight Extra Large,g4ad.8xlarge,g4ad,0 units,unknown,x86_64,," $1,392.402 ", $877.212 , $727.299 ," $2,466.96 "
G4AD Extra Large,g4ad.xlarge,g4ad,0 units,unknown,x86_64,, $303.957 , $174.083 , $141.985 , $438.28 
G4DN 12xlarge Extra Large,g4dn.12xlarge,g4dn,0 units,Yes,x86_64,," $3,027.310 "," $1,970.270 "," $1,210.121 "," $4,639.15 "
